seed,rank_within_seed,departure_date,launch_epoch,arrival_epoch,total_dsm_kms,objective_total_dv_kms,c3_kms2,arrival_vinf_kms,total_tof_years,detail_file,detail_json_path
seed42,1,2034-04-02,2034-Apr-02 18:52:42.479920,2041-May-28 21:52:01.830651,0.612573556209,0.612573556209,15.000000000000,5.768456619291,7.154345050027,rank_001.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_001.json
seed314,1,2034-05-23,2034-May-23 17:04:39.232273,2041-Mar-14 01:07:23.109182,0.700698057600,0.700698057600,15.000000000000,6.074016768881,6.807214866685,rank_001.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_001.json
seed314,2,2034-05-26,2034-May-26 22:47:14.762858,2041-May-15 18:21:17.870948,0.771302179613,0.771302179613,14.756731709093,5.731839799174,6.970062460646,rank_002.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_002.json
seed42,2,2034-06-15,2034-Jun-15 03:25:18.081630,2041-Nov-15 12:57:35.621466,0.807614425189,0.807614425189,11.265055763270,5.492492898725,7.420663724106,rank_002.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed42/candidate_details/rank_002.json
seed314,3,2034-06-22,2034-Jun-22 15:56:11.423784,2041-Apr-05 13:08:08.887225,0.869885754511,0.869885754511,15.000000000000,5.955663469036,6.786812604997,rank_003.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_003.json
seed314,4,2034-07-05,2034-Jul-05 17:48:02.330317,2041-Apr-20 20:43:16.845257,0.898494317049,0.898494317049,9.183156358102,5.843297298153,6.792940987747,rank_004.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_004.json
seed314,5,2034-06-29,2034-Jun-29 00:54:28.990593,2041-Aug-10 16:59:31.412225,1.016818586141,1.016818586141,9.940466308594,5.545541227049,7.117509012778,rank_005.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_005.json
seed314,6,2034-06-05,2034-Jun-05 08:47:36.479736,2041-Mar-07 10:16:45.264695,1.032565640644,1.032565640644,14.547748346687,6.151509950345,6.754447384622,rank_006.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_006.json
seed314,7,2034-07-05,2034-Jul-05 08:00:05.149162,2041-Jun-29 14:56:06.233315,1.040587238810,1.040587238810,8.844081210000,5.622997593889,6.985048327001,rank_007.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_007.json
seed314,8,2034-06-18,2034-Jun-18 23:29:46.334955,2041-Apr-04 19:42:26.641319,1.043139374867,1.043139374867,13.505929072738,5.932528465572,6.794913437852,rank_008.json,/Users/ike/Desktop/Purdue/2025-2026/AAE450/minos-1-orbits-cloud-arch/v2/good_results/veega/veega_batches/seed314/candidate_details/rank_008.json
